CONCEPTICON_ID	GLOSS	SEMANTIC_FIELD	ONTOLOGICAL_CATEGORY	ILI	POS
1	CONTEMPTIBLE	Emotions and values	Property		a
2	DUST	The physical world	Person/Thing	i115039	n
3	BRAVE	Emotions and values	Property	i1475	a
4	COURTYARD	The house	Person/Thing		n
5	GAZELLE	Animals	Person/Thing		n
6	EARTHQUAKE	The physical world	Person/Thing	i75751	n
7	GATHER	Spatial relations	Action/Process	i28612	v
8	CURSE	Religion and belief	Action/Process	i25957	v
9	ANNOUNCE	Speech and language	Action/Process	i26463	v
10	FIREWOOD	The physical world	Person/Thing	i116556	n
11	DARKNESS	The physical world	Person/Thing	i110421	n
12	MIDDAY	Time	Person/Thing	i116909	n
13	DECEIT	Emotions and values	Person/Thing	i39390	n
14	YOKE	Motion	Person/Thing	i61326	n
15	OTTER	Animals	Person/Thing		n
16	SLED	Motion	Person/Thing	i59047	n
17	EYELID	The body	Person/Thing	i64881	n
18	EARLOBE	The body	Person/Thing	i64935	n
19	FISHING LINE	Warfare and hunting	Person/Thing	i53777	n
20	SCYTHE	Agriculture and vegetation	Person/Thing		n
21	TASTE (SOMETHING)	Sense perception	Action/Process	i32725	v
22	INTEND	Cognition	Action/Process		v
23	RYE	Agriculture and vegetation	Person/Thing	i100917	n
24	PRAY	Religion and belief	Action/Process	i25495	v
25	DIRT	Sense perception	Person/Thing		n
26	UNPLEASANT	Emotions and values	Property		a
27	AIR	The physical world	Person/Thing	i115045	n
28	MOISTEN	Basic actions and technology	Action/Process		v
29	GELD	Animals	Action/Process		v
30	DISPEL	Motion	Action/Process		v
31	PAN	Food and drink	Person/Thing	i56934	n
32	EARWAX	The body	Person/Thing	i116528	n
33	NETTLE	Agriculture and vegetation	Person/Thing	i102135	n
34	STAIRS	The house	Person/Thing		n
35	TAMARIND	Agriculture and vegetation	Person/Thing		n
36	PUBIC HAIR	The body	Person/Thing	i64624	n
37	LIBERATE	Social and political relations	Action/Process	i34205	v
38	SPREAD OUT	Basic actions and technology	Action/Process	i29626	v
39	KEEN	Emotions and values	Property		a
40	ENVY	Emotions and values	Person/Thing	i76437	n
41	IGNORE	Cognition	Action/Process		v
42	STINKING	Sense perception	Property		a
43	LEAD (GUIDE)	Motion	Action/Process	i31738	v
44	INJURE	The body	Action/Process	i22125	v
45	EVIL	Emotions and values	Property		a
46	HOLLOW OUT	Basic actions and technology	Action/Process	i28080	v
47	EXCRETA	The body	Person/Thing		n
48	BE SILENT	Speech and language	Action/Process		v
49	REFUSE	Speech and language	Action/Process	i25664	v
50	JACK	Modern world	Person/Thing		n
51	SORE	The body	Person/Thing		n
52	SHIVER	The body	Action/Process	i31150	v
53	SPIRIT	Religion and belief	Person/Thing		n
54	SHRINK	The physical world	Action/Process		v
55	WHISPER	Speech and language	Action/Process	i26191	v
56	BAD LUCK	Emotions and values	Person/Thing	i113074	n
57	ATOP	Spatial relations	Other		n
58	LIQUID	The physical world	Property		a
59	ELECTRICITY	Modern world	Person/Thing	i97765	n
60	OAT	Agriculture and vegetation	Person/Thing	i100785	n
61	INDUCE	Cognition	Action/Process		v
62	BE SITUATED	The physical world	Other		n
63	RUMOUR	Speech and language	Person/Thing		n
64	PIN	Clothing and grooming	Person/Thing	i59656	n
65	AMBUSH	Warfare and hunting	Person/Thing	i41929	n
66	KNEEL	Motion	Action/Process	i29460	v
67	EMBERS	The physical world	Person/Thing	i85361	n
68	TATTOO	Clothing and grooming	Person/Thing	i60026	n
69	SOBER	Food and drink	Property		a
70	BRACKISH	Sense perception	Property		a
71	BY HEART	Cognition	Other		n
72	CLAW	Animals	Person/Thing	i46802	n
73	BEAK	The body	Person/Thing	i44571	n
74	PUPPY	Animals	Person/Thing		n
